Countries,Latitude,Longitude,Avg. Temp,No. of Tourists
France,46.2276,2.2137,11.57,117109000
Mexico,23.6345,-102.5528,21.86,51128000
United States,37.0902,-95.7129,10.00,45037000
Italy,41.8719,12.5674,13.50,38419000
Spain,40.4637,-3.7492,14.25,36410000
Hungary,47.1625,19.5033,11.57,31641000
China,35.8617,104.1954,8.19,30402000
Croatia,45.1000,15.2000,11.95,21608000
Turkey,38.9637,35.2433,12.63,15971000
Denmark,56.2639,9.5018,8.92,15595000
Austria,47.5162,14.5501,7.35,15091000
Germany,51.1657,10.4515,9.49,12449000
United Kingdom,55.3781,-3.4360,9.38,11101000
United Arab Emirates,23.4241,53.8478,29.08,8084000
Greece,39.0742,21.8243,14.89,7406000
Netherlands,52.1326,5.2913,10.39,7265000
Russia,61.5240,105.3188,-3.64,6359000
Macau,22.1987,113.5439,23.96,5897000
Andorra,42.5462,1.6016,8.43,5207000
Romania,45.9432,24.9668,10.35,5023000
Bulgaria,42.7339,25.4858,11.98,4973000
Malaysia,4.2105,101.9758,26.46,4333000
Portugal,39.3999,-8.2245,16.09,4208000
Japan,36.2048,138.2529,12.36,4115800
Indonesia,-0.7893,113.9213,25.99,4053000
South Africa,-30.5595,22.9375,18.06,3886600
Puerto Rico,18.2208,-66.5901,25.11,3882000
Vietnam,14.0583,108.2772,25.03,3837000
Belarus,53.7098,27.9534,7.33,3598000
Hong Kong,22.3964,114.1095,24.24,3569000
Ukraine,48.3794,31.1656,9.38,3382000
Latvia,56.8796,24.6032,6.81,3204000
Morocco,31.7917,-7.0926,18.48,2802000
Dominican Republic,18.7357,-70.1627,24.70,2748000
Singapore,1.3521,103.8198,27.74,2742000
Albania,41.1533,20.1683,12.92,2658000
Belgium,50.5039,4.4699,10.47,2584000
South Korea,35.9078,127.7669,13.04,2519000
Lithuania,55.1694,23.8813,7.28,2284000
Kuwait,29.3117,47.4818,27.89,2161000
Kazakhstan,48.0196,66.9237,7.88,2035000
Tunisia,33.8869,9.5375,21.33,2012000
Sweden,60.1282,18.6435,3.02,1957000
Bahrain,25.9304,50.6378,29.15,1909000
Australia,-25.2744,133.7751,22.06,1828000
Estonia,58.5953,25.0136,6.28,1695000
Iran,32.4279,53.6880,19.54,1550000
Georgia,42.3154,43.3569,10.06,1513000
Philippines,12.8797,121.7740,26.60,1483000
Norway,60.4720,8.4689,2.06,1397000
Colombia,4.5709,-74.2973,24.97,1396000
Jamaica,18.1096,-77.2975,25.80,1329700
Cambodia,12.5657,104.9910,27.44,1306000
Jordan,30.5852,36.2384,20.36,1240000
Slovenia,46.1512,14.9955,9.90,1216000
Costa Rica,9.7489,-83.7534,24.94,1146500
Peru,-9.1900,-75.0152,19.79,1119000
Cuba,21.5218,-77.7812,26.05,1086000
Paraguay,-23.4425, -58.4438,24.01,1077000
New Zealand,-40.9006,174.8860,11.23,996000
Myanmar,16.8713,96.1994,24.08,903000
Finland,61.9241,25.7482,2.30,896000
Laos,19.8563,102.4955,24.32,886400
Oman,21.5126,55.9233,28.10,869000
Azerbaijan,40.1431,47.5769,14.29,796000
Malta,35.9375,14.3754,20.28,718000
El Salvador,13.7942,-88.8965,25.56,707000
Honduras,14.0820,-87.2024,25.05,669000
Ivory Coast,5.3453,-4.0244,27.37,668000
Cayman Islands,19.5135,-80.5670,27.99,660000
Panama,8.5380,-80.7821,25.62,647000
Zimbabwe,-19.0154,29.1549,21.87,639000
Guatemala,15.7835,-90.2308,24.09,594000
Qatar,25.3548,51.1839,29.42,582000
Maldives,3.2028,73.2207,27.74,555000
Sri Lanka,7.8731,80.7718,27.41,540000
Luxembourg,49.8153,6.1296,9.81,525000
Ethiopia,9.1450,40.4897,23.35,518000
Zambia,-13.1339,27.8493,22.12,502000
Iceland,64.9631,-19.0208,2.40,488000
Belize,17.1899,-88.4977,26.15,487000
Nicaragua,12.8654,-85.2072,26.19,474000
Uganda,1.3733,32.2903,23.22,473000
Serbia,44.0165,21.0059,11.67,446000
Armenia,40.0691,45.0382,8.84,375000
Montenegro,42.4426,19.2686,10.20,351000
Bolivia,-16.2902,-63.5887,20.82,323300
Mauritius,-20.3484,57.5522,23.67,316000
Nepal,28.3949,84.1240,14.32,230000
Grenada,12.2628,-61.6042,26.49,217000
Bosnia,43.9159,17.6791,10.66,197000
Namibia,-22.9576,18.4904,20.12,187100
Fiji, -18.141600,178.4419,25.01,168000
Monaco,43.7503,7.4128,13.62,159000
Trinidad and Tobago,10.6918,-61.2225,26.54,141000
Macedonia,42.0062,20.9597,11.42,118000
Palestine,31.8980,35.2043,20.36,93000
Madagascar,-18.7669,46.8691,22.87,87100
Guyana,4.8604,-58.9302,26.15,86400
Niger,17.6078,8.0817,28.09,85000
Mongolia,46.8625,103.8467,2.07,66900
Liechtenstein,47.1660,9.5554,7.42,58400
Papua New Guinea,-6.3150,143.9556,24.73,39000
Bhutan,27.5142,90.4336,10.80,29800
Chad,15.4542,18.7322,27.72,10400
